x,IMU Yaw
11.379999998999999,0.0
11.4,0.0
11.42,0.0
11.44,0.0
11.44,0.0
11.459999998999999,0.0
11.479999999,0.0
11.5,0.0
11.52,0.0
11.539999998999999,0.0
11.559999999,0.0
11.559999999,0.0
11.58,0.0
11.6,0.0
11.619999999,0.0
11.639999998999999,0.0
11.66,0.0
11.68,0.0
11.68,0.0
11.699999999,0.0
11.719999998999999,0.0
11.74,0.0
11.76,0.0
11.779999999,0.0
11.799999998999999,0.0
11.799999998999999,0.0
11.82,0.0
11.84,0.0
11.859999999,0.0
11.879999998999999,0.0
11.9,0.0
11.92,0.0
11.94,0.0
11.959999998999999,0.0
11.959999998999999,0.0
11.979999999,0.0
12.0,0.0
12.02,0.0
12.039999998999999,0.0
12.059999998999999,0.0
12.08,0.0
12.1,0.0
12.119999999,0.0
12.139999998999999,0.0
12.16,0.0
12.18,0.0
12.199999999,0.0
12.219999998999999,0.0
12.24,0.0
12.24,0.0
12.26,0.0
12.279999999,0.0
12.299999998999999,0.0
12.32,0.0
12.34,0.0
12.359999999,0.0
12.379999998999999,0.0
12.4,0.0
12.42,0.0
12.44,0.0
12.459999998999999,0.0
12.479999999,0.0
12.5,0.0
12.5,0.0
12.52,0.0
12.539999998999999,0.0
12.559999999,0.0
12.58,0.0
12.6,0.0
12.619999999,0.0
12.639999998999999,0.0
12.66,0.0
12.68,0.0
12.699999999,0.0
12.719999998999999,0.0
12.74,0.0
12.76,0.0
12.76,0.0
12.779999999,0.0
12.799999998999999,0.0
12.82,0.0
12.84,0.0
12.859999999,0.0
12.879999998999999,0.0
12.9,0.0
12.92,0.0
12.94,0.0
12.959999998999999,0.0
12.979999999,0.0
13.0,0.0
13.02,0.0
13.039999998999999,0.0
13.039999998999999,0.0
13.059999998999999,0.0
13.08,0.0
13.1,0.0
13.119999999,0.0
13.139999998999999,0.0
13.16,0.0
13.18,0.0
13.199999999,0.0
13.219999998999999,0.0
13.24,0.0
13.26,0.0
13.279999999,0.0
