x,IMU Vx,IMU Vy
112.84,0.0,0.0
112.84,0.0,0.0
112.86,0.0,0.0
112.87999999899999,0.0,0.0
112.87999999899999,0.0,0.0
112.899999999,0.0,0.0
112.92,0.0,0.0
112.94,0.0,0.0
112.94,0.0,0.0
112.959999999,0.0,0.0
112.98,0.0,0.0
112.98,0.0,0.0
113.0,0.0,0.0
113.01999999899999,0.0,0.0
113.01999999899999,0.0,0.0
113.039999999,0.0,0.0
113.06,0.0,0.0
113.06,0.0,0.0
113.08,0.0,0.0
113.09999999899999,0.0,0.0
113.09999999899999,0.0,0.0
113.12,0.0,0.0
113.14,0.0,0.0
113.14,0.0,0.0
113.159999999,0.0,0.0
113.179999999,0.0,0.0
113.2,0.0,0.0
113.2,0.0,0.0
113.22,0.0,0.0
113.23999999899999,0.0,0.0
113.23999999899999,0.0,0.0
113.259999999,0.0,0.0
113.28,0.0,0.0
113.28,0.0,0.0
113.299999999,0.0,0.0
113.319999999,0.0,0.0
113.319999999,0.0,0.0
113.34,0.0,0.0
113.36,0.0,0.0
113.36,0.0,0.0
113.37999999899999,0.0,0.0
113.399999999,0.0,0.0
113.399999999,0.0,0.0
113.42,0.0,0.0
113.44,0.0,0.0
113.44,0.0,0.0
113.459999999,0.0,0.0
113.48,0.0,0.0
113.48,0.0,0.0
113.5,0.0,0.0
113.51999999899999,0.0,0.0
113.51999999899999,0.0,0.0
113.539999999,0.0,0.0
113.56,0.0,0.0
113.56,0.0,0.0
113.58,0.0,0.0
113.599999999,0.0,0.0
113.599999999,0.0,0.0
113.62,0.0,0.0
113.64,0.0,0.0
113.64,0.0,0.0
113.659999999,0.0,0.0
113.679999999,0.0,0.0
113.679999999,0.0,0.0
113.7,0.0,0.0
113.72,0.0,0.0
113.72,0.0,0.0
113.73999999899999,0.0,0.0
113.759999999,0.0,0.0
113.759999999,0.0,0.0
113.78,0.0,0.0
113.799999999,0.0,0.0
113.799999999,0.0,0.0
113.819999999,0.0,0.0
113.84,0.0,0.0
113.84,0.0,0.0
113.86,0.0,0.0
113.87999999899999,0.0,0.0
113.87999999899999,0.0,0.0
113.899999999,0.0,0.0
113.92,0.0,0.0
113.92,0.0,0.0
113.94,0.0,0.0
113.959999999,0.0,0.0
113.959999999,0.0,0.0
113.98,0.0,0.0
114.0,0.0,0.0
114.0,0.0,0.0
114.01999999899999,0.0,0.0
114.039999999,0.0,0.0
114.039999999,0.0,0.0
114.06,0.0,0.0
114.08,0.0,0.0
114.08,0.0,0.0
114.09999999899999,0.0,0.0
114.12,0.0,0.0
114.12,0.0,0.0
114.14,0.0,0.0
114.159999999,0.0,0.0
114.159999999,0.0,0.0
114.179999999,0.0,0.0
114.2,0.0,0.0
114.2,0.0,0.0
114.22,0.0,0.0
114.23999999899999,0.0,0.0
114.23999999899999,0.0,0.0
114.259999999,0.0,0.0
114.28,0.0,0.0
114.28,0.0,0.0
114.299999999,0.0,0.0
114.299999999,0.0,0.0
114.319999999,0.0,0.0
114.34,0.0,0.0
114.34,0.0,0.0
114.36,0.0,0.0
114.37999999899999,0.0,0.0
114.37999999899999,0.0,0.0
114.399999999,0.0,0.0
114.42,0.0,0.0
114.42,0.0,0.0
114.44,0.0,0.0
114.459999999,0.0,0.0
114.459999999,0.0,0.0
114.48,0.0,0.0
114.5,0.0,0.0
114.5,0.0,0.0
114.51999999899999,0.0,0.0
114.539999999,0.0,0.0
114.539999999,0.0,0.0
114.56,0.0,0.0
114.58,0.0,0.0
114.58,0.0,0.0
114.599999999,0.0,0.0
114.62,0.0,0.0
114.62,0.0,0.0
114.64,0.0,0.0
114.659999999,0.0,0.0
114.659999999,0.0,0.0
114.679999999,0.0,0.0
114.7,0.0,0.0
114.7,0.0,0.0
114.72,0.0,0.0
114.73999999899999,0.0,0.0
114.73999999899999,0.0,0.0
114.759999999,0.0,0.0
114.78,0.0,0.0
114.78,0.0,0.0
114.799999999,0.0,0.0
114.819999999,0.0,0.0
114.819999999,0.0,0.0
114.84,0.0,0.0
114.86,0.0,0.0
114.86,0.0,0.0
114.87999999899999,0.0,0.0
114.899999999,0.0,0.0
114.899999999,0.0,0.0
114.92,0.0,0.0
114.94,0.0,0.0
114.94,0.0,0.0
114.959999999,0.0,0.0
114.98,0.0,0.0
115.0,0.0,0.0
115.0,0.0,0.0
115.01999999899999,0.0,0.0
115.039999999,0.0,0.0
115.039999999,0.0,0.0
115.06,0.0,0.0
115.08,0.0,0.0
115.08,0.0,0.0
115.09999999899999,0.0,0.0
115.12,0.0,0.0
115.12,0.0,0.0
115.14,0.0,0.0
115.159999999,0.0,0.0
115.159999999,0.0,0.0
115.179999999,0.0,0.0
115.2,0.0,0.0
115.2,0.0,0.0
115.22,0.0,0.0
115.23999999899999,0.0,0.0
115.23999999899999,0.0,0.0
115.259999999,0.0,0.0
115.28,0.0,0.0
115.299999999,0.0,0.0
115.299999999,0.0,0.0
115.319999999,0.0,0.0
115.34,0.0,0.0
115.34,0.0,0.0
115.36,0.0,0.0
115.37999999899999,0.0,0.0
115.37999999899999,0.0,0.0
115.399999999,0.0,0.0
115.42,0.0,0.0
115.42,0.0,0.0
115.44,0.0,0.0
115.459999999,0.0,0.0
115.459999999,0.0,0.0
115.48,0.0,0.0
115.5,0.0,0.0
115.5,0.0,0.0
115.51999999899999,0.0,0.0
115.539999999,0.0,0.0
115.539999999,0.0,0.0
115.56,0.0,0.0
115.58,0.0,0.0
115.58,0.0,0.0
115.599999999,0.0,0.0
115.62,0.0,0.0
115.62,0.0,0.0
115.64,0.0,0.0
115.659999999,0.0,0.0
115.659999999,0.0,0.0
115.679999999,0.0,0.0
115.7,0.0,0.0
115.72,0.0,0.0
115.72,0.0,0.0
115.73999999899999,0.0,0.0
115.759999999,0.0,0.0
115.759999999,0.0,0.0
115.78,0.0,0.0
115.799999999,0.0,0.0
115.799999999,0.0,0.0
115.819999999,0.0,0.0
115.84,0.0,0.0
115.84,0.0,0.0
115.86,0.0,0.0
115.87999999899999,0.0,0.0
115.87999999899999,0.0,0.0
115.899999999,0.0,0.0
115.92,0.0,0.0
115.92,0.0,0.0
115.94,0.0,0.0
115.959999999,0.0,0.0
115.959999999,0.0,0.0
115.98,0.0,0.0
116.0,0.0,0.0
116.0,0.0,0.0
116.01999999899999,0.0,0.0
116.039999999,0.0,0.0
116.039999999,0.0,0.0
116.06,0.0,0.0
116.08,0.0,0.0
116.08,0.0,0.0
116.09999999899999,0.0,0.0
116.12,0.0,0.0
116.12,0.0,0.0
116.14,0.0,0.0
116.159999999,0.0,0.0
116.179999999,0.0,0.0
116.179999999,0.0,0.0
116.2,0.0,0.0
116.22,0.0,0.0
116.22,0.0,0.0
116.23999999899999,0.0,0.0
116.259999999,0.0,0.0
116.259999999,0.0,0.0
116.28,0.0,0.0
116.299999999,0.0,0.0
116.299999999,0.0,0.0
116.319999999,0.0,0.0
116.34,0.0,0.0
116.34,0.0,0.0
116.36,0.0,0.0
116.37999999899999,0.0,0.0
116.37999999899999,0.0,0.0
116.399999999,0.0,0.0
116.42,0.0,0.0
116.42,0.0,0.0
116.44,0.0,0.0
116.459999999,0.0,0.0
116.459999999,0.0,0.0
116.48,0.0,0.0
116.5,0.0,0.0
116.5,0.0,0.0
116.51999999899999,0.0,0.0
116.539999999,0.0,0.0
116.539999999,0.0,0.0
116.56,0.0,0.0
116.58,0.0,0.0
116.58,0.0,0.0
116.599999999,0.0,0.0
116.62,0.0,0.0
116.62,0.0,0.0
116.64,0.0,0.0
116.659999999,0.0,0.0
116.659999999,0.0,0.0
116.679999999,0.0,0.0
116.7,0.0,0.0
116.7,0.0,0.0
116.72,0.0,0.0
116.73999999899999,0.0,0.0
116.73999999899999,0.0,0.0
116.759999999,0.0,0.0
116.78,0.0,0.0
116.78,0.0,0.0
116.799999999,0.0,0.0
116.819999999,0.0,0.0
116.819999999,0.0,0.0
116.84,0.0,0.0
116.86,0.0,0.0
116.86,0.0,0.0
116.87999999899999,0.0,0.0
116.899999999,0.0,0.0
116.899999999,0.0,0.0
116.92,0.0,0.0
116.94,0.0,0.0
116.94,0.0,0.0
116.959999999,0.0,0.0
116.98,0.0,0.0
116.98,0.0,0.0
117.0,0.0,0.0
117.01999999899999,0.0,0.0
117.01999999899999,0.0,0.0
117.039999999,0.0,0.0
117.06,0.0,0.0
117.06,0.0,0.0
117.08,0.0,0.0
117.09999999899999,0.0,0.0
117.09999999899999,0.0,0.0
117.12,0.0,0.0
117.14,0.0,0.0
117.14,0.0,0.0
117.159999999,0.0,0.0
117.179999999,0.0,0.0
117.179999999,0.0,0.0
117.2,0.0,0.0
117.22,0.0,0.0
117.22,0.0,0.0
117.23999999899999,0.0,0.0
117.259999999,0.0,0.0
117.259999999,0.0,0.0
117.28,0.0,0.0
117.299999999,0.0,0.0
117.299999999,0.0,0.0
117.319999999,0.0,0.0
117.34,0.0,0.0
117.34,0.0,0.0
117.36,0.0,0.0
117.37999999899999,0.0,0.0
117.37999999899999,0.0,0.0
117.399999999,0.0,0.0
117.42,0.0,0.0
117.42,0.0,0.0
117.44,0.0,0.0
117.459999999,0.0,0.0
117.459999999,0.0,0.0
117.48,0.0,0.0
117.5,0.0,0.0
117.5,0.0,0.0
117.51999999899999,0.0,0.0
117.539999999,0.0,0.0
117.539999999,0.0,0.0
117.56,0.0,0.0
117.58,0.0,0.0
117.58,0.0,0.0
117.599999999,0.0,0.0
117.62,0.0,0.0
117.62,0.0,0.0
117.64,0.0,0.0
117.659999999,0.0,0.0
117.659999999,0.0,0.0
117.679999999,0.0,0.0
117.7,0.0,0.0
117.7,0.0,0.0
117.72,0.0,0.0
117.73999999899999,0.0,0.0
117.73999999899999,0.0,0.0
117.759999999,0.0,0.0
117.78,0.0,0.0
117.78,0.0,0.0
117.799999999,0.0,0.0
117.819999999,0.0,0.0
117.819999999,0.0,0.0
117.84,0.0,0.0
117.86,0.0,0.0
117.86,0.0,0.0
117.87999999899999,0.0,0.0
117.899999999,0.0,0.0
117.899999999,0.0,0.0
117.92,0.0,0.0
117.94,0.0,0.0
117.94,0.0,0.0
117.959999999,0.0,0.0
117.98,0.0,0.0
117.98,0.0,0.0
118.0,0.0,0.0
118.01999999899999,0.0,0.0
118.01999999899999,0.0,0.0
118.039999999,0.0,0.0
118.06,0.0,0.0
118.06,0.0,0.0
118.08,0.0,0.0
118.09999999899999,0.0,0.0
118.09999999899999,0.0,0.0
118.12,0.0,0.0
118.14,0.0,0.0
118.14,0.0,0.0
118.159999999,0.0,0.0
118.179999999,0.0,0.0
118.179999999,0.0,0.0
118.2,0.0,0.0
118.22,0.0,0.0
118.22,0.0,0.0
118.23999999899999,0.0,0.0
118.259999999,0.0,0.0
118.259999999,0.0,0.0
118.28,0.0,0.0
118.299999999,0.0,0.0
118.299999999,0.0,0.0
118.319999999,0.0,0.0
118.34,0.0,0.0
118.34,0.0,0.0
118.36,0.0,0.0
118.37999999899999,0.0,0.0
118.37999999899999,0.0,0.0
118.399999999,0.0,0.0
118.42,0.0,0.0
118.42,0.0,0.0
118.44,0.0,0.0
118.459999999,0.0,0.0
118.459999999,0.0,0.0
118.48,0.0,0.0
118.5,0.0,0.0
118.5,0.0,0.0
118.51999999899999,0.0,0.0
118.539999999,0.0,0.0
118.539999999,0.0,0.0
118.56,0.0,0.0
118.58,0.0,0.0
118.58,0.0,0.0
118.599999999,0.0,0.0
118.62,0.0,0.0
118.62,0.0,0.0
118.64,0.0,0.0
118.64,0.0,0.0
118.659999999,0.0,0.0
118.679999999,0.0,0.0
118.679999999,0.0,0.0
118.7,0.0,0.0
118.72,0.0,0.0
118.72,0.0,0.0
118.73999999899999,0.0,0.0
118.759999999,0.0,0.0
118.759999999,0.0,0.0
118.78,0.0,0.0
118.799999999,0.0,0.0
118.799999999,0.0,0.0
118.819999999,0.0,0.0
118.819999999,0.0,0.0
118.84,0.0,0.0
118.86,0.0,0.0
118.86,0.0,0.0
118.87999999899999,0.0,0.0
118.899999999,0.0,0.0
118.899999999,0.0,0.0
118.92,0.0,0.0
118.94,0.0,0.0
118.94,0.0,0.0
118.959999999,0.0,0.0
118.98,0.0,0.0
118.98,0.0,0.0
119.0,0.0,0.0
119.01999999899999,0.0,0.0
119.01999999899999,0.0,0.0
119.039999999,0.0,0.0
119.06,0.0,0.0
119.06,0.0,0.0
119.08,0.0,0.0
119.09999999899999,0.0,0.0
119.09999999899999,0.0,0.0
119.12,0.0,0.0
119.14,0.0,0.0
119.14,0.0,0.0
119.159999999,0.0,0.0
119.179999999,0.0,0.0
119.179999999,0.0,0.0
119.2,0.0,0.0
119.22,0.0,0.0
119.22,0.0,0.0
119.23999999899999,0.0,0.0
119.259999999,0.0,0.0
119.259999999,0.0,0.0
119.28,0.0,0.0
119.299999999,0.0,0.0
119.299999999,0.0,0.0
119.319999999,0.0,0.0
119.34,0.0,0.0
119.34,0.0,0.0
119.36,0.0,0.0
119.36,0.0,0.0
119.37999999899999,0.0,0.0
119.399999999,0.0,0.0
119.399999999,0.0,0.0
119.42,0.0,0.0
119.44,0.0,0.0
119.44,0.0,0.0
119.459999999,0.0,0.0
119.48,0.0,0.0
119.48,0.0,0.0
119.5,0.0,0.0
119.5,0.0,0.0
119.51999999899999,0.0,0.0
119.539999999,0.0,0.0
119.539999999,0.0,0.0
119.56,0.0,0.0
119.56,0.0,0.0
119.58,0.0,0.0
119.599999999,0.0,0.0
119.599999999,0.0,0.0
119.62,0.0,0.0
119.64,0.0,0.0
119.64,0.0,0.0
119.659999999,0.0,0.0
119.679999999,0.0,0.0
119.679999999,0.0,0.0
119.7,0.0,0.0
119.72,0.0,0.0
119.72,0.0,0.0
119.73999999899999,0.0,0.0
119.759999999,0.0,0.0
119.78,0.0,0.0
119.78,0.0,0.0
119.799999999,0.0,0.0
119.799999999,0.0,0.0
119.819999999,0.0,0.0
119.84,0.0,0.0
119.84,0.0,0.0
119.86,0.0,0.0
119.87999999899999,0.0,0.0
119.87999999899999,0.0,0.0
119.899999999,0.0,0.0
119.92,0.0,0.0
119.92,0.0,0.0
119.94,0.0,0.0
119.959999999,0.0,0.0
119.959999999,0.0,0.0
119.98,0.0,0.0
120.0,0.0,0.0
120.0,0.0,0.0
120.01999999899999,0.0,0.0
120.01999999899999,0.0,0.0
120.039999999,0.0,0.0
120.06,0.0,0.0
120.06,0.0,0.0
120.08,0.0,0.0
120.09999999899999,0.0,0.0
120.12,0.0,0.0
120.12,0.0,0.0
120.14,0.0,0.0
120.159999999,0.0,0.0
120.159999999,0.0,0.0
120.179999999,0.0,0.0
120.2,0.0,0.0
120.2,0.0,0.0
120.22,0.0,0.0
120.23999999899999,0.0,0.0
120.23999999899999,0.0,0.0
120.259999999,0.0,0.0
120.28,0.0,0.0
120.28,0.0,0.0
120.299999999,0.0,0.0
120.319999999,0.0,0.0
120.319999999,0.0,0.0
120.34,0.0,0.0
120.36,0.0,0.0
120.36,0.0,0.0
120.37999999899999,0.0,0.0
120.399999999,0.0,0.0
120.399999999,0.0,0.0
120.42,0.0,0.0
120.44,0.0,0.0
120.44,0.0,0.0
120.459999999,0.0,0.0
